Operation,Details,Date
176899210318229505,GCG5Z3QYQYL2BKUS2GERQXKT6YIWDPUWC5BTCF4R2FGICZUKN2YZ6ST2 created account GBTVDDNDNKTMR2433GZSVBZXJOJBTODH7RAL3MHAUWOMGVDGUDPH2RQM with starting balance 199.94 XLMMemo (TEXT):RrThe memo contains optional extra information. It is the responsibility of the client to interpret this value.Memos can be one of the following types:MEMO_TEXT: A string up to 28-bytes long.MEMO_ID: A 64 bit unsigned integer.MEMO_HASH: A 32 byte hash.MEMO_RETURN: A 32 byte hash intended to be interpreted as the hash of the transaction the sender is refunding.Read more…Account created - GBTVDDNDNKTMR2433GZSVBZXJOJBTODH7RAL3MHAUWOMGVDGUDPH2RQM with starting balance 199.94 XLMAccount debited - 199.94 XLM transferred from GCG5Z3QYQYL2BKUS2GERQXKT6YIWDPUWC5BTCF4R2FGICZUKN2YZ6ST2Signer created - GBTVDDNDNKTMR2433GZSVBZXJOJBTODH7RAL3MHAUWOMGVDGUDPH2RQM with weight 1,2022-06-05 12:34:52 UTC
176841696410365953,GA5XIGA5C7QTPTWXQHY6MCJRMTRZDOSHR6EFIBNDQTCQHG262N4GGKTM created account GCG5Z3QYQYL2BKUS2GERQXKT6YIWDPUWC5BTCF4R2FGICZUKN2YZ6ST2 with starting balance 200.96216 XLMAccount created - GCG5Z3QYQYL2BKUS2GERQXKT6YIWDPUWC5BTCF4R2FGICZUKN2YZ6ST2 with starting balance 200.96216 XLMAccount debited - 200.96216 XLM transferred from GA5XIGA5C7QTPTWXQHY6MCJRMTRZDOSHR6EFIBNDQTCQHG262N4GGKTMSigner created - GCG5Z3QYQYL2BKUS2GERQXKT6YIWDPUWC5BTCF4R2FGICZUKN2YZ6ST2 with weight 1,2022-06-04 14:23:25 UTC
